affy_hg_u133_plus_2	ensembl_gene_id	hgnc_symbol	entrezgene	uniprot_swissprot_accession	chromosome_name	start_position	end_position	band
202891_at	ENSG00000158793	NIT1	4817		1	161087876	161095235	q23.3
202892_at	ENSG00000094880	CDC23	8697	Q9UJX2	5	137523339	137549032	q31.2
202893_at	ENSG00000198722	UNC13B	10497	O14795	9	35161999	35405335	p13.3
202894_at	ENSG00000196411	EPHB4	2050		7	100400187	100425121	q22.1
202894_at	ENSG00000196411	EPHB4	2050	P54760	7	100400187	100425121	q22.1
202895_s_at	ENSG00000198053	SIRPA	140885		20	1875154	1920543	p13
202895_s_at	ENSG00000198053	SIRPA	140885	P78324	20	1875154	1920543	p13
202896_s_at	ENSG00000198053	SIRPA	140885		20	1875154	1920543	p13
202896_s_at	ENSG00000198053	SIRPA	140885	P78324	20	1875154	1920543	p13
202897_at	ENSG00000198053	SIRPA	140885		20	1875154	1920543	p13
202897_at	ENSG00000198053	SIRPA	140885	P78324	20	1875154	1920543	p13
202898_at	ENSG00000162512	SDC3	9672		1	31342314	31381608	p35.2
202899_s_at	ENSG00000112081	SRSF3	6428	P84103	6	36562145	36571209	p21.31
202899_s_at	ENSG00000112081	SRSF3	6428		6	36562145	36571209	p21.31
2028_s_at	ENSG00000101412	E2F1	1869	Q01094	20	32263489	32274210	q11.22
202900_s_at	ENSG00000108559	NUP88	4927	Q99567	17	5289346	5323000	p13.2
202900_s_at	ENSG00000108559	NUP88	4927		17	5289346	5323000	p13.2
202901_x_at	ENSG00000163131	CTSS	1520	P25774	1	150702551	150738433	q21.3
202901_x_at	ENSG00000163131	CTSS	1520		1	150702551	150738433	q21.3
202902_s_at	ENSG00000163131	CTSS	1520	P25774	1	150702551	150738433	q21.3
202902_s_at	ENSG00000163131	CTSS	1520		1	150702551	150738433	q21.3
202903_at	ENSG00000106355	LSM5	23658	Q9Y4Y9	7	32524951	32534895	p14.3
202904_s_at	ENSG00000106355	LSM5	23658	Q9Y4Y9	7	32524951	32534895	p14.3
202904_s_at	ENSG00000106355	LSM5	23658		7	32524951	32534895	p14.3
202905_x_at	ENSG00000104320	NBN	4683	O60934	8	90945564	91015456	q21.3
202905_x_at	ENSG00000104320	NBN	4683		8	90945564	91015456	q21.3
202906_s_at	ENSG00000104320	NBN	4683	O60934	8	90945564	91015456	q21.3
202906_s_at	ENSG00000104320	NBN	4683		8	90945564	91015456	q21.3
202907_s_at	ENSG00000104320	NBN	4683	O60934	8	90945564	91015456	q21.3
202907_s_at	ENSG00000104320	NBN	4683		8	90945564	91015456	q21.3
202908_at	ENSG00000109501	WFS1	7466		4	6271576	6304992	p16.1
202908_at	ENSG00000109501	WFS1	7466	O76024	4	6271576	6304992	p16.1
202909_at	ENSG00000178567	EPM2AIP1	9852	Q7L775	3	37027357	37034795	p22.2
202910_s_at	ENSG00000123146	CD97	976	P48960	19	14492213	14519531	p13.12
202910_s_at	ENSG00000123146	CD97	976		19	14492213	14519531	p13.12
202911_at	ENSG00000116062	MSH6	2956	P52701	2	48010221	48034092	p16.3
202911_at	ENSG00000116062	MSH6	2956		2	48010221	48034092	p16.3
202912_at	ENSG00000148926	ADM	133	P35318	11	10326227	10328944	p15.4
202912_at	ENSG00000148926	ADM	133		11	10326227	10328944	p15.4
202913_at	ENSG00000132694	ARHGEF11	9826		1	156904632	157015162	q23.1
202913_at	ENSG00000132694	ARHGEF11	9826	O15085	1	156904632	157015162	q23.1
202914_s_at	ENSG00000132694	ARHGEF11	9826		1	156904632	157015162	q23.1
202914_s_at	ENSG00000132694	ARHGEF11	9826	O15085	1	156904632	157015162	q23.1
202915_s_at	ENSG00000116199	FAM20B	9917	O75063	1	178994939	179045697	q25.2
202916_s_at	ENSG00000116199	FAM20B	9917	O75063	1	178994939	179045697	q25.2
202917_s_at	ENSG00000143546	S100A8	6279	P05109	1	153362508	153363664	q21.3
202918_s_at	ENSG00000115540	MOBKL3	25843		2	198380295	198418423	q33.1
202918_s_at	ENSG00000115540	MOBKL3	100529241		2	198380295	198418423	q33.1
202918_s_at	ENSG00000115540	MOBKL3	25843	Q9Y3A3	2	198380295	198418423	q33.1
202918_s_at	ENSG00000115540	MOBKL3	100529241	Q9Y3A3	2	198380295	198418423	q33.1
202919_at	ENSG00000115540	MOBKL3	25843		2	198380295	198418423	q33.1
202919_at	ENSG00000115540	MOBKL3	100529241		2	198380295	198418423	q33.1
202919_at	ENSG00000115540	MOBKL3	25843	Q9Y3A3	2	198380295	198418423	q33.1
202919_at	ENSG00000115540	MOBKL3	100529241	Q9Y3A3	2	198380295	198418423	q33.1
202920_at	ENSG00000145362	ANK2	287		4	113739265	114309884	q25
202921_s_at	ENSG00000145362	ANK2	287		4	113739265	114309884	q25
202921_s_at	ENSG00000145362	ANK2	287	Q01484	4	113739265	114309884	q25
202922_at	ENSG00000001084	GCLC	2729	P48506	6	53362139	53481768	p12.1
202923_s_at	ENSG00000001084	GCLC	2729	P48506	6	53362139	53481768	p12.1
202924_s_at	ENSG00000126003	PLAGL2	5326	Q9UPG8	20	30780306	30795594	q11.21
202925_s_at	ENSG00000126003	PLAGL2	5326	Q9UPG8	20	30780306	30795594	q11.21
202926_at	ENSG00000151779	NBAS	51594	A2RRP1	2	15307032	15701454	p24.3
202926_at	ENSG00000151779	NBAS	51594		2	15307032	15701454	p24.3
202927_at	ENSG00000127445	PIN1	5300	Q13526	19	9945999	9960365	p13.2
202927_at	ENSG00000127445	PIN1	5300		19	9945999	9960365	p13.2
202928_s_at	ENSG00000112511	PHF1	5252		6	33378176	33384230	p21.32
202929_s_at	ENSG00000099977	DDT	1652	P30046	22	24313554	24322660	q11.23
202930_s_at	ENSG00000136143	SUCLA2	8803	Q9P2R7	13	48510622	48612125	q14.2
202930_s_at	ENSG00000136143	SUCLA2	8803		13	48510622	48612125	q14.2
202931_x_at	ENSG00000136717	BIN1	274		2	127805603	127864931	q14.3
202931_x_at	ENSG00000136717	BIN1	274	O00499	2	127805603	127864931	q14.3
202932_at	ENSG00000176105	YES1	7525	P07947	18	721588	812327	p11.32
202933_s_at	ENSG00000176105	YES1	7525	P07947	18	721588	812327	p11.32
202934_at	ENSG00000159399	HK2	3099	P52789	2	75061108	75120486	p12
202934_at	ENSG00000159399	HK2	3099		2	75061108	75120486	p12
202935_s_at	ENSG00000125398	SOX9	6662	P48436	17	70117161	70122561	q24.3
202935_s_at	ENSG00000125398	SOX9	6662		17	70117161	70122561	q24.3
202936_s_at	ENSG00000125398	SOX9	6662	P48436	17	70117161	70122561	q24.3
202937_x_at	ENSG00000189306	RRP7A	27341	Q9NSQ0	22	42905974	42915808	q13.2
202937_x_at	ENSG00000189306	RRP7A	100510451	Q9NSQ0	22	42905974	42915808	q13.2
202937_x_at	ENSG00000189306	RRP7A	100510314	Q9NSQ0	22	42905974	42915808	q13.2
202937_x_at	ENSG00000189306	RRP7A	27341	Q9Y3A4	22	42905974	42915808	q13.2
202937_x_at	ENSG00000189306	RRP7A	100510451	Q9Y3A4	22	42905974	42915808	q13.2
202937_x_at	ENSG00000189306	RRP7A	100510314	Q9Y3A4	22	42905974	42915808	q13.2
202939_at	ENSG00000084073	ZMPSTE24	10269	O75844	1	40723779	40759856	p34.2
202942_at	ENSG00000105379	ETFB	2109	P38117	19	51848410	51869672	q13.41
202942_at	ENSG00000105379	ETFB	2109		19	51848410	51869672	q13.41
202943_s_at	ENSG00000198951	NAGA	4668	P17050	22	42428724	42466846	q13.2
202944_at	ENSG00000198951	NAGA	4668	P17050	22	42428724	42466846	q13.2
202945_at	ENSG00000136877	FPGS	2356	Q05932	9	130556876	130576606	q34.11
202945_at	ENSG00000136877	FPGS	2356		9	130556876	130576606	q34.11
202946_s_at	ENSG00000132640	BTBD3	22903		20	11871371	11907257	p12.2
202946_s_at	ENSG00000132640	BTBD3	22903	Q9Y2F9	20	11871371	11907257	p12.2
202947_s_at	ENSG00000136732	GYPC	2995	P04921	2	127413509	127454246	q14.3
202947_s_at	ENSG00000136732	GYPC	2995		2	127413509	127454246	q14.3
202948_at	ENSG00000115594	IL1R1	3554		2	102681004	102796334	q11.2
202948_at	ENSG00000115594	IL1R1	3554	P14778	2	102681004	102796334	q11.2
202949_s_at	ENSG00000115641	FHL2	2274	Q14192	2	105974169	106054960	q12.2
202949_s_at	ENSG00000115641	FHL2	2274		2	105974169	106054960	q12.2
202950_at	ENSG00000116791	CRYZ	1429	Q08257	1	75171170	75199092	p31.1
202950_at	ENSG00000116791	CRYZ	1429		1	75171170	75199092	p31.1
202951_at	ENSG00000112079	STK38	11329	Q15208	6	36461669	36515247	p21.31
202952_s_at	ENSG00000148848	ADAM12	8038	O43184	10	127700950	128077024	q26.2
202953_at	ENSG00000173369	C1QB	713		1	22979255	22988031	p36.12
202953_at	ENSG00000173369	C1QB	713	P02746	1	22979255	22988031	p36.12
202954_at	ENSG00000175063	UBE2C	11065	O00762	20	44441215	44445596	q13.12
202954_at	ENSG00000175063	UBE2C	11065		20	44441215	44445596	q13.12
202955_s_at	ENSG00000066777	ARFGEF1	10565	Q9Y6D6	8	68085747	68255912	q13.2
202955_s_at	ENSG00000066777	ARFGEF1	10565		8	68085747	68255912	q13.2
202956_at	ENSG00000066777	ARFGEF1	10565	Q9Y6D6	8	68085747	68255912	q13.2
202956_at	ENSG00000066777	ARFGEF1	10565		8	68085747	68255912	q13.2
202957_at	ENSG00000180353	HCLS1	3059	P14317	3	121350246	121379774	q13.33
202957_at	ENSG00000180353	HCLS1	3059		3	121350246	121379774	q13.33
202958_at	ENSG00000169410	PTPN9	5780	P43378	15	75759462	75871630	q24.2
202958_at	ENSG00000169410	PTPN9	5780		15	75759462	75871630	q24.2
202959_at	ENSG00000146085	MUT	4594	P22033	6	49398073	49430904	p12.3
202959_at	ENSG00000146085	MUT	4594		6	49398073	49430904	p12.3
202960_s_at	ENSG00000146085	MUT	4594	P22033	6	49398073	49430904	p12.3
202960_s_at	ENSG00000146085	MUT	4594		6	49398073	49430904	p12.3
202961_s_at	ENSG00000241468	ATP5J2	9551		7	99046098	99063954	q22.1
202961_s_at	ENSG00000241468	ATP5J2	9551	P56134	7	99046098	99063954	q22.1
202962_at	ENSG00000197892	KIF13B	23303		8	28924796	29120641	p12
202963_at	ENSG00000143390	RFX5	5993	P48382	1	151313116	151319833	q21.3
202964_s_at	ENSG00000143390	RFX5	5993	P48382	1	151313116	151319833	q21.3
202964_s_at	ENSG00000143390	RFX5	5993		1	151313116	151319833	q21.3
202965_s_at	ENSG00000077274	CAPN6	827	Q9Y6Q1	X	110488331	110513751	q23
202966_at	ENSG00000077274	CAPN6	827	Q9Y6Q1	X	110488331	110513751	q23
202967_at	ENSG00000170899	GSTA4	2941	O15217	6	52842751	52860176	p12.2
202967_at	ENSG00000170899	GSTA4	2941		6	52842751	52860176	p12.2
202968_s_at	ENSG00000127334	DYRK2	8445	Q92630	12	68042118	68059186	q15
202968_s_at	ENSG00000127334	DYRK2	8445		12	68042118	68059186	q15
202969_at	ENSG00000127334	DYRK2	8445	Q92630	12	68042118	68059186	q15
202970_at	ENSG00000127334	DYRK2	8445	Q92630	12	68042118	68059186	q15
202971_s_at	ENSG00000127334	DYRK2	8445	Q92630	12	68042118	68059186	q15
202972_s_at	ENSG00000138640	FAM13A	10144	O94988	4	89647106	90032549	q22.1
202972_s_at	ENSG00000138640	FAM13A	10144		4	89647106	90032549	q22.1
202973_x_at	ENSG00000138640	FAM13A	10144	O94988	4	89647106	90032549	q22.1
202973_x_at	ENSG00000138640	FAM13A	10144		4	89647106	90032549	q22.1
202974_at	ENSG00000130830	MPP1	4354	Q00013	X	154006959	154049282	q28
202974_at	ENSG00000130830	MPP1	4354		X	154006959	154049282	q28
202975_s_at	ENSG00000164292	RHOBTB3	22836	O94955	5	95049226	95160087	q15
202975_s_at	ENSG00000164292	RHOBTB3	22836		5	95049226	95160087	q15
202976_s_at	ENSG00000164292	RHOBTB3	22836	O94955	5	95049226	95160087	q15
202977_s_at	ENSG00000137504	CREBZF	58487		11	85370752	85393951	q14.1
202977_s_at	ENSG00000137504	CREBZF	58487	Q9NS37	11	85370752	85393951	q14.1
202978_s_at	ENSG00000137504	CREBZF	58487		11	85370752	85393951	q14.1
202979_s_at	ENSG00000137504	CREBZF	58487		11	85370752	85393951	q14.1
202980_s_at	ENSG00000196470	SIAH1	6477	Q8IUQ4	16	48394442	48419361	q12.1
202981_x_at	ENSG00000196470	SIAH1	6477	Q8IUQ4	16	48394442	48419361	q12.1
202983_at	ENSG00000071794	HLTF	6596		3	148747914	148804341	q24
202983_at	ENSG00000071794	HLTF	6596	Q14527	3	148747914	148804341	q24
202984_s_at	ENSG00000166170	BAG5	9529	Q9UL15	14	104022881	104029151	q32.33
202985_s_at	ENSG00000166170	BAG5	9529	Q9UL15	14	104022881	104029151	q32.33
202986_at	ENSG00000172379	ARNT2	9915	Q9HBZ2	15	80696692	80890278	q25.1
202986_at	ENSG00000172379	ARNT2	9915		15	80696692	80890278	q25.1
202987_at	ENSG00000056972	TRAF3IP2	10758		6	111877657	111927481	q21
202987_at	ENSG00000056972	TRAF3IP2	10758	O43734	6	111877657	111927481	q21
202988_s_at	ENSG00000090104	RGS1	5996	Q08116	1	192544857	192549161	q31.2
202990_at	ENSG00000100504	PYGL	5836		14	51324609	51411248	q22.1
202990_at	ENSG00000100504	PYGL	5836	P06737	14	51324609	51411248	q22.1
202992_at	ENSG00000112936	C7	730	P10643	5	40909354	40983041	p13.1
202993_at	ENSG00000105135	ILVBL	10994	A1L0T0	19	15225795	15236596	p13.12
202994_s_at	ENSG00000077942	FBLN1	2192	P23142	22	45898118	45997015	q13.31
202994_s_at	ENSG00000077942	FBLN1	2192		22	45898118	45997015	q13.31
202995_s_at	ENSG00000077942	FBLN1	2192	P23142	22	45898118	45997015	q13.31
202995_s_at	ENSG00000077942	FBLN1	2192		22	45898118	45997015	q13.31
202996_at	ENSG00000175482	POLD4	57804		11	67118248	67124443	q13.2
202996_at	ENSG00000175482	POLD4	57804	Q9HCU8	11	67118248	67124443	q13.2
202997_s_at	ENSG00000134013	LOXL2	4017	Q9Y4K0	8	23154702	23282841	p21.3
202997_s_at	ENSG00000134013	LOXL2	4017		8	23154702	23282841	p21.3
202998_s_at	ENSG00000134013	LOXL2	4017	Q9Y4K0	8	23154702	23282841	p21.3
202999_s_at	ENSG00000134013	LOXL2	4017	Q9Y4K0	8	23154702	23282841	p21.3
203000_at	ENSG00000104435	STMN2	11075	Q93045	8	80523049	80578397	q21.13
203000_at	ENSG00000104435	STMN2	11075		8	80523049	80578397	q21.13
203001_s_at	ENSG00000104435	STMN2	11075	Q93045	8	80523049	80578397	q21.13
203001_s_at	ENSG00000104435	STMN2	11075		8	80523049	80578397	q21.13
203002_at	ENSG00000114019	AMOTL2	51421		3	134074716	134094321	q22.2
203002_at	ENSG00000114019	AMOTL2	51421	Q9Y2J4	3	134074716	134094321	q22.2
203003_at	ENSG00000116604	MEF2D	4209	Q14814	1	156433519	156470620	q22
203003_at	ENSG00000116604	MEF2D	4209		1	156433519	156470620	q22
203004_s_at	ENSG00000116604	MEF2D	4209	Q14814	1	156433519	156470620	q22
203004_s_at	ENSG00000116604	MEF2D	4209		1	156433519	156470620	q22
203005_at	ENSG00000111321	LTBR	4055		12	6484211	6500733	p13.31
203005_at	ENSG00000111321	LTBR	4055	P36941	12	6484211	6500733	p13.31
203006_at	ENSG00000068383	INPP5A	3632	Q14642	10	134351324	134596984	q26.3
203006_at	ENSG00000068383	INPP5A	3632		10	134351324	134596984	q26.3
203007_x_at	ENSG00000120992	LYPLA1	10434	O75608	8	54958938	55014577	q11.23
203007_x_at	ENSG00000120992	LYPLA1	10434		8	54958938	55014577	q11.23
203008_x_at	ENSG00000115514	TXNDC9	10190	O14530	2	99921090	99957165	q11.2
203008_x_at	ENSG00000115514	TXNDC9	10190		2	99921090	99957165	q11.2
203009_at	ENSG00000187244	BCAM	4059	P50895	19	45312338	45324677	q13.32
203010_at	ENSG00000126561	STAT5A	6776	P42229	17	40439565	40463961	q21.2
203010_at	ENSG00000126561	STAT5A	6776		17	40439565	40463961	q21.2
203011_at	ENSG00000133731	IMPA1	3612	P29218	8	82570196	82598928	q21.13
203013_at	ENSG00000122882	ECD	11319	O95905	10	74889913	74927853	q22.2
203013_at	ENSG00000122882	ECD	11319		10	74889913	74927853	q22.2
203014_x_at	ENSG00000100359	SGSM3	27352	Q96HU1	22	40766595	40806122	q13.1
203014_x_at	ENSG00000100359	SGSM3	27352		22	40766595	40806122	q13.1
203015_s_at	ENSG00000117155	SSX2IP	117178	Q9Y2D8	1	85109390	85156486	p22.3
203015_s_at	ENSG00000117155	SSX2IP	117178		1	85109390	85156486	p22.3
203016_s_at	ENSG00000117155	SSX2IP	117178	Q9Y2D8	1	85109390	85156486	p22.3
203017_s_at	ENSG00000117155	SSX2IP	117178	Q9Y2D8	1	85109390	85156486	p22.3
203018_s_at	ENSG00000117155	SSX2IP	117178	Q9Y2D8	1	85109390	85156486	p22.3
203019_x_at	ENSG00000117155	SSX2IP	117178	Q9Y2D8	1	85109390	85156486	p22.3
203020_at	ENSG00000152061	RABGAP1L	9910		1	174128548	174964445	q25.1
203021_at	ENSG00000124107	SLPI	6590	P03973	20	43880880	43883205	q13.12
203022_at	ENSG00000104889	RNASEH2A	10535	O75792	19	12917428	12924462	p13.2
203023_at	ENSG00000048162	NOP16	51491	Q9Y3C1	5	175810949	175815976	q35.2
203023_at	ENSG00000048162	NOP16	51491		5	175810949	175815976	q35.2
203024_s_at	ENSG00000113583	C5orf15	56951	Q8NC54	5	133291201	133304478	q31.1
203024_s_at	ENSG00000113583	C5orf15	56951		5	133291201	133304478	q31.1
203025_at	ENSG00000102030	NAA10	8260	P41227	X	153194695	153200676	q28
203025_at	ENSG00000102030	NAA10	8260		X	153194695	153200676	q28
203026_at	ENSG00000168795	ZBTB5	9925	O15062	9	37438111	37465396	p13.2
203027_s_at	ENSG00000167508	MVD	4597	P53602	16	88718343	88729518	q24.3
203027_s_at	ENSG00000167508	MVD	4597		16	88718343	88729518	q24.3
203028_s_at	ENSG00000051523	CYBA	1535	P13498	16	88709698	88717457	q24.3
203029_s_at	ENSG00000155093	PTPRN2	5799		7	157331750	158380480	q36.3
203029_s_at	ENSG00000155093	PTPRN2	5799	Q92932	7	157331750	158380480	q36.3
203030_s_at	ENSG00000155093	PTPRN2	5799		7	157331750	158380480	q36.3
203030_s_at	ENSG00000155093	PTPRN2	5799	Q92932	7	157331750	158380480	q36.3
203031_s_at	ENSG00000188690	UROS	7390	P10746	10	127477146	127511817	q26.2
203032_s_at	ENSG00000091483	FH	2271	P07954	1	241660903	241683061	q43
203033_x_at	ENSG00000091483	FH	2271	P07954	1	241660903	241683061	q43
203034_s_at	ENSG00000166441	RPL27A	6157	P46776	11	8703958	8736306	p15.4
203034_s_at	ENSG00000166441	RPL27A	6157		11	8703958	8736306	p15.4
203035_s_at	ENSG00000131788	PIAS3	10401	Q9Y6X2	1	145575233	145586546	q21.1
203035_s_at	ENSG00000131788	PIAS3	10401		1	145575233	145586546	q21.1
203036_s_at	ENSG00000170873	MTSS1	9788		8	125563031	125740730	q24.13
203036_s_at	ENSG00000170873	MTSS1	9788	O43312	8	125563031	125740730	q24.13
203037_s_at	ENSG00000170873	MTSS1	9788		8	125563031	125740730	q24.13
203038_at	ENSG00000152894	PTPRK	5796		6	128289924	128841870	q22.33
203039_s_at	ENSG00000023228	NDUFS1	4719	P28331	2	206986149	207024327	q33.3
203039_s_at	ENSG00000023228	NDUFS1	4719		2	206986149	207024327	q33.3
203041_s_at	ENSG00000005893	LAMP2	3920	P13473	X	119561682	119603220	q24
203041_s_at	ENSG00000005893	LAMP2	3920		X	119561682	119603220	q24
203042_at	ENSG00000005893	LAMP2	3920	P13473	X	119561682	119603220	q24
203042_at	ENSG00000005893	LAMP2	3920		X	119561682	119603220	q24
203043_at	ENSG00000214717	ZBED1	9189	O96006	X	2404455	2419008	p22.33
203043_at	ENSG00000214717	ZBED1	9189		X	2404455	2419008	p22.33
203044_at	ENSG00000131873	CHSY1	22856	Q86X52	15	101715928	101792137	q26.3
203045_at	ENSG00000131669	NINJ1	4814	Q92982	9	95883771	95896570	q22.31
203046_s_at	ENSG00000111602	TIMELESS	8914	Q9UNS1	12	56810158	56843200	q13.3
203047_at	ENSG00000072786	STK10	6793	O94804	5	171469077	171615390	q35.1
203047_at	ENSG00000072786	STK10	6793		5	171469077	171615390	q35.1
203048_s_at	ENSG00000198677	TTC37	9652	Q6PGP7	5	94799599	94890711	q15
203049_s_at	ENSG00000198677	TTC37	9652	Q6PGP7	5	94799599	94890711	q15
203050_at	ENSG00000067369	TP53BP1	7158	Q12888	15	43699407	43802926	q15.3
203050_at	ENSG00000067369	TP53BP1	7158		15	43699407	43802926	q15.3
203051_at	ENSG00000140320	BAHD1	22893	Q8TBE0	15	40733411	40760441	q15.1
203053_at	ENSG00000116752	BCAS2	10286	O75934	1	115110178	115124260	p13.2
203054_s_at	ENSG00000145022	TCTA	6988	P57738	3	49449639	49453908	p21.31
203055_s_at	ENSG00000076928	ARHGEF1	9138		19	42387267	42411597	q13.2
203055_s_at	ENSG00000076928	ARHGEF1	9138	Q92888	19	42387267	42411597	q13.2
203056_s_at	ENSG00000116731	PRDM2	7799	Q13029	1	14026693	14151560	p36.21
203056_s_at	ENSG00000116731	PRDM2	7799		1	14026693	14151560	p36.21
203057_s_at	ENSG00000116731	PRDM2	7799		1	14026693	14151560	p36.21
203058_s_at	ENSG00000198682	PAPSS2	9060	O95340	10	89419370	89507462	q23.2
203058_s_at	ENSG00000198682	PAPSS2	9060		10	89419370	89507462	q23.2
203059_s_at	ENSG00000198682	PAPSS2	9060	O95340	10	89419370	89507462	q23.2
203059_s_at	ENSG00000198682	PAPSS2	9060		10	89419370	89507462	q23.2
203060_s_at	ENSG00000198682	PAPSS2	9060	O95340	10	89419370	89507462	q23.2
203060_s_at	ENSG00000198682	PAPSS2	9060		10	89419370	89507462	q23.2
203061_s_at	ENSG00000137337	MDC1	9656	Q14676	6	30667584	30685666	p21.33
203061_s_at	ENSG00000137337	MDC1	9656		6	30667584	30685666	p21.33
203062_s_at	ENSG00000137337	MDC1	9656	Q14676	6	30667584	30685666	p21.33
203062_s_at	ENSG00000137337	MDC1	9656		6	30667584	30685666	p21.33
203063_at	ENSG00000100034	PPM1F	9647	P49593	22	22273793	22307209	q11.22
203063_at	ENSG00000100034	PPM1F	9647		22	22273793	22307209	q11.22
203064_s_at	ENSG00000141568	FOXK2	3607		17	80477589	80562483	q25.3
203064_s_at	ENSG00000141568	FOXK2	3607	Q01167	17	80477589	80562483	q25.3
203065_s_at	ENSG00000105974	CAV1	857	Q03135	7	116164839	116201233	q31.2
203065_s_at	ENSG00000105974	CAV1	857		7	116164839	116201233	q31.2
203066_at	ENSG00000182022	CHST15	51363	Q7LFX5	10	125767184	125853206	q26.13
203067_at	ENSG00000110435	PDHX	8050		11	34937376	35042138	p13
203067_at	ENSG00000110435	PDHX	8050	O00330	11	34937376	35042138	p13
203068_at	ENSG00000162413	KLHL21	9903	Q9UJP4	1	6650784	6674667	p36.31
203068_at	ENSG00000162413	KLHL21	9903		1	6650784	6674667	p36.31
203069_at	ENSG00000159164	SV2A	9900	Q7L0J3	1	149874870	149889434	q21.2
203071_at	ENSG00000012171	SEMA3B	7869		3	50304990	50314977	p21.31
203071_at	ENSG00000012171	SEMA3B	7869	Q13214	3	50304990	50314977	p21.31
203072_at	ENSG00000157483	MYO1E	4643	Q12965	15	59428567	59665071	q22.2
203073_at	ENSG00000135775	COG2	22796	Q14746	1	230778235	230829728	q42.2
203073_at	ENSG00000135775	COG2	22796		1	230778235	230829728	q42.2
203075_at	ENSG00000175387	SMAD2	4087	Q15796	18	45357922	45457515	q21.1
203075_at	ENSG00000175387	SMAD2	4087		18	45357922	45457515	q21.1
203076_s_at	ENSG00000175387	SMAD2	4087	Q15796	18	45357922	45457515	q21.1
203076_s_at	ENSG00000175387	SMAD2	4087		18	45357922	45457515	q21.1
203077_s_at	ENSG00000175387	SMAD2	4087	Q15796	18	45357922	45457515	q21.1
203077_s_at	ENSG00000175387	SMAD2	4087		18	45357922	45457515	q21.1
203078_at	ENSG00000108094	CUL2	8453	Q13617	10	35297479	35379570	p11.21
203078_at	ENSG00000108094	CUL2	8453		10	35297479	35379570	p11.21
203079_s_at	ENSG00000108094	CUL2	8453	Q13617	10	35297479	35379570	p11.21
203079_s_at	ENSG00000108094	CUL2	8453		10	35297479	35379570	p11.21
203080_s_at	ENSG00000123636	BAZ2B	29994		2	160175490	160473203	q24.2
203080_s_at	ENSG00000123636	BAZ2B	29994	Q9UIF8	2	160175490	160473203	q24.2
203081_at	ENSG00000178585	CTNNBIP1	56998	Q9NSA3	1	9908334	9970394	p36.22
203081_at	ENSG00000178585	CTNNBIP1	56998		1	9908334	9970394	p36.22
203082_at	ENSG00000165733	BMS1	9790	Q14692	10	43278249	43326856	q11.21
203083_at	ENSG00000186340	THBS2	7058	P35442	6	169615875	169654139	q27
203085_s_at	ENSG00000105329	TGFB1	7040	P01137	19	41836813	41859831	q13.2
203086_at	ENSG00000068796	KIF2A	3796		5	61601989	61833076	q12.1
203087_s_at	ENSG00000068796	KIF2A	3796		5	61601989	61833076	q12.1
203088_at	ENSG00000140092	FBLN5	10516		14	92335758	92414046	q32.12
203088_at	ENSG00000140092	FBLN5	10516	Q9UBX5	14	92335758	92414046	q32.12
203089_s_at	ENSG00000115317	HTRA2	27429	O43464	2	74756504	74760472	p13.1
203090_at	ENSG00000132581	SDF2	6388	Q99470	17	26975374	26989203	q11.2
203091_at	ENSG00000162613	FUBP1	8880	Q96AE4	1	78409740	78444794	p31.1
203091_at	ENSG00000162613	FUBP1	8880		1	78409740	78444794	p31.1
203092_at	ENSG00000104980	TIMM44	10469	O43615	19	7991604	8008708	p13.2
203093_s_at	ENSG00000104980	TIMM44	10469	O43615	19	7991604	8008708	p13.2
203094_at	ENSG00000124688	MAD2L1BP	9587		6	43597277	43608689	p21.1
203094_at	ENSG00000124688	MAD2L1BP	9587	Q15013	6	43597277	43608689	p21.1
203095_at	ENSG00000085760	MTIF2	4528	P46199	2	55463731	55496483	p16.1
203096_s_at	ENSG00000109756	RAPGEF2	9693	Q9Y4G8	4	160025330	160281321	q32.1
203097_s_at	ENSG00000109756	RAPGEF2	9693	Q9Y4G8	4	160025330	160281321	q32.1
203098_at	ENSG00000153046	CDYL	9425	Q9Y232	6	4706345	4955785	p25.1
203098_at	ENSG00000153046	CDYL	9425		6	4706345	4955785	p25.1
203099_s_at	ENSG00000153046	CDYL	9425	Q9Y232	6	4706345	4955785	p25.1
203099_s_at	ENSG00000153046	CDYL	9425		6	4706345	4955785	p25.1
203100_s_at	ENSG00000153046	CDYL	9425	Q9Y232	6	4706345	4955785	p25.1
203100_s_at	ENSG00000153046	CDYL	9425		6	4706345	4955785	p25.1
203101_s_at	ENSG00000168282	MGAT2	4247	Q10469	14	50087489	50090198	q21.3
203102_s_at	ENSG00000168282	MGAT2	4247	Q10469	14	50087489	50090198	q21.3
203103_s_at	ENSG00000110107	PRPF19	27339	Q9UMS4	11	60658202	60674060	q12.2
203103_s_at	ENSG00000110107	PRPF19	27339		11	60658202	60674060	q12.2
203104_at	ENSG00000182578	CSF1R	1436		5	149432854	149492935	q32
203104_at	ENSG00000182578	CSF1R	1436	P07333	5	149432854	149492935	q32
203105_s_at	ENSG00000087470	DNM1L	10059		12	32832134	32905700	p11.21
203105_s_at	ENSG00000087470	DNM1L	10059	O00429	12	32832134	32905700	p11.21
203106_s_at	ENSG00000006715	VPS41	27072	P49754	7	38762563	38971994	p14.1
203107_x_at	ENSG00000140988	RPS2	6187		16	2012061	2014861	p13.3
